road_type_score,avg_speed_kmh,turn_count,elevation_gain_m,weather_score,time_of_day_score,distance_km,sharp_turn_count,u_turn_count,intersection_count,signal_count,roundabout_count,lane_change_count,traffic_density_score,comfort_score
0.7,85.37252676568971,18,4.526409063208481,0.22449468840242093,0.75,21.368392050767607,13,3,24,10,2,1,0.5849979701850421,61.52898046395996
0.55,31.58379569859312,44,134.77113923277471,0.9482686497881705,0.75,27.065573135190263,19,4,54,16,3,3,0.39878962344837376,36.92020495843397
0.7,27.546244434876748,36,129.63086922348845,0.773502769547162,0.95,48.78099197925111,2,1,43,17,7,7,0.5804182844556781,55.903000825037154
0.7,55.44203061251253,53,165.5703655485517,0.9622686816769365,0.4,3.0809889354031963,10,1,65,19,3,2,0.6169406306235379,46.699427975748904
0.85,79.18724182262616,5,249.96653141145018,0.25621693216559005,0.95,22.963207116317683,13,2,8,3,3,4,0.7845155100295635,73.65394981567414
0.85,15.575186672108913,13,240.7081652947434,0.8357933275778873,0.75,32.16311070533082,1,1,21,5,3,9,0.9567937557926747,66.82376829336407
1.0,61.912712767443026,3,30.01298532900336,0.6077214042619692,0.4,1.4129454205441325,3,4,9,4,0,1,0.6029977730930305,73.43491022401456
0.7,20.728939855651603,54,280.1986100030021,0.9815036893032196,0.75,30.242538576754313,4,2,55,12,0,8,0.484004276393803,47.18974771341566
0.55,13.281494574305661,33,33.12431840233341,0.9463169456136573,0.75,3.75379777848744,18,0,47,16,6,2,0.40696273044071474,42.69561748428367
0.85,14.746955694599565,26,190.37115256027084,0.9729680449427024,0.95,43.02036143576098,9,2,39,11,4,0,0.707725769203303,55.4846219457281
0.85,85.07476973875973,6,201.72188807867272,0.951767618339942,0.95,40.54721867991973,1,0,14,5,6,6,0.9543336892203489,88.06344629584895
0.85,20.61752352652554,2,203.96324616692644,0.007660866890438989,0.75,2.5805017031312167,2,1,8,2,2,4,0.8117239294190128,65.5454689392787
0.85,14.063622797106277,46,79.60535150261727,0.7410854101506894,0.75,3.3913972033114286,14,4,50,14,1,8,0.3648821055107023,41.09856744045507
0.7,49.41098984286211,1,99.10352752949758,0.27193456120964177,0.95,37.927082646518514,18,3,3,0,0,2,0.9146433045083893,65.45321775838903
0.85,85.95941247478223,79,164.60306254481907,0.7050270955525281,0.75,19.107699736337207,1,2,87,22,6,0,0.7884106464673921,59.71975031965987
0.7,33.61675388403717,24,59.87624874002952,0.9806112012539087,0.75,29.176263608977916,2,1,30,13,7,6,0.30235588898908655,59.84356944874257
0.35,47.95413557733247,59,6.093140350005366,0.03935939069875882,0.75,14.246085218503813,11,4,61,16,3,7,0.77024193246317,36.46723937633767
0.55,13.593027930737609,78,168.6433363525727,0.5669878324393505,0.75,9.475474929100887,13,3,82,35,1,1,0.4314843659249813,28.297471406656797
0.35,50.417066272138825,23,139.5835716036022,0.7349531581167693,0.95,15.507778759830513,16,2,37,12,6,1,0.5931173258640878,47.79714352638736
0.85,61.98517725734203,14,197.0193618670386,0.2533587822148069,0.75,13.088971310975417,15,4,16,3,4,8,0.44018505127313506,55.11792333563421
0.7,61.38163483769303,13,44.01017275009798,0.22512193706714245,0.75,22.967064473727383,16,1,15,3,3,3,0.26724739035282385,62.140940543081896
0.85,39.918402295692864,53,252.27746837695543,0.060345505401880994,0.95,37.58713209909662,8,2,64,29,7,0,0.8148668677466875,43.460928759089896
1.0,38.3979862596822,77,43.866446538158186,0.0939198571680756,0.4,28.152340988420875,2,2,83,31,5,8,0.8629470069664993,47.857754003130026
0.55,19.59612570429381,5,267.4030814640071,0.6567499108483615,0.75,30.849737089046208,13,0,13,3,7,8,0.38558320108857647,53.45342741101811
0.7,43.01184885816416,77,134.85635177871092,0.5052106190319509,0.95,24.033851226446128,2,0,81,33,2,5,0.391710494335623,50.53807783486981
0.85,18.95452019856682,17,164.94157781180843,0.030072227481945935,0.75,16.911948369937996,5,2,28,12,1,5,0.543966182566912,53.926022113604674
0.55,78.99363502408464,19,268.97440078919664,0.9696617587527658,0.75,8.031932442663908,18,4,29,8,7,8,0.8491754552827047,53.829485964326786
0.55,96.96468679733673,61,89.9739145431201,0.6560458694888051,0.75,18.373707496586047,12,1,64,23,4,1,0.2618144576374037,44.20764628459869
0.7,97.30670110000362,79,54.54809887234545,0.5154685690160083,0.75,33.59473219447939,4,3,82,23,6,8,0.8469690826370506,58.74889211973003
0.55,87.85639894378545,39,133.7254862458361,0.2727242366264233,0.75,36.955093723267204,0,0,41,9,7,3,0.9381783687644587,66.37316962401633
1.0,64.07129344056571,38,73.31016855831203,0.6580988848075032,0.4,23.989895651502465,11,1,50,15,0,3,0.6492033342319259,56.438919625081354
1.0,73.07791275194919,51,158.35317346209513,0.36416786288271275,0.4,32.60486645456923,14,2,65,27,2,8,0.24831318520751583,49.12263263410708
0.85,35.66852224123727,31,82.57735933329494,0.7024941626624895,0.75,11.31651301232836,18,1,38,12,3,6,0.4156422078850195,49.94293578517135
1.0,66.76933781553586,72,259.3468606786371,0.6825719203067642,0.75,43.143249715473864,1,1,81,26,1,9,0.2891091792842973,53.9175496361657
1.0,51.00845944958897,26,182.19737767731777,0.09274379512412934,0.75,43.430886083144806,2,1,37,11,4,4,0.40742685659953815,57.64671213618321
0.55,53.38156057992393,51,0.07220092287067992,0.9092607083109917,0.75,16.69606843635374,6,2,51,17,7,7,0.8494256075936835,56.27186262839574
1.0,78.19989043376421,62,241.64212040394742,0.4869742516016813,0.75,27.837899725451432,10,0,64,18,1,0,0.24453423138234492,53.26453807780053
0.85,35.37265200375265,73,99.06370101784377,0.3929449389665539,0.95,30.726439392345743,9,3,74,28,2,6,0.4270589078815931,44.133211491041706
1.0,38.62356505250679,62,96.06239524648713,0.9554621436287786,0.4,24.149071900447357,7,4,73,15,6,3,0.6135606101003932,45.40913904219315
1.0,93.2177612015773,16,114.91884364034021,0.4382092811112116,0.4,45.64596552433157,1,0,26,11,0,1,0.8992327811887637,79.7923692072256
0.7,15.060186536587501,48,189.0787584252242,0.7212209169030644,0.75,37.24613039286592,13,3,58,14,0,1,0.3999857327335794,40.872837300122654
0.55,53.707086857200636,22,132.6182131182669,0.6551364772498361,0.4,33.9530141378279,12,2,33,12,6,8,0.8226617252295068,53.99851051864826
0.55,92.15207203670755,71,188.59066397091073,0.16514009808305663,0.75,26.484567855249654,6,3,77,25,5,5,0.6668552597911123,48.45748047496151
0.7,64.93267070363413,12,44.03421649073771,0.991142773743137,0.95,5.157519166998374,8,2,17,7,2,3,0.7410955339037555,76.17214526358035
1.0,59.176636679091885,22,291.04933935722573,0.46360432229088666,0.95,6.283247503384732,6,3,35,15,3,1,0.8894149180597526,69.4370734937241
1.0,32.47697613064197,56,218.88188612515916,0.3947825724173085,0.75,15.651434249956942,0,0,56,14,7,6,0.22113252296403943,50.24203048330129
0.35,40.89479401580034,61,75.06213215351491,0.9196134927532301,0.95,11.364591150076757,0,2,63,25,1,8,0.6237867836827913,47.139970419028685
0.85,86.68435742242237,53,217.25097242243277,0.5292383365771101,0.4,47.67401762349172,5,1,63,16,3,1,0.7977713656244456,54.80353229052318
0.7,60.32963185916123,19,172.5076368784918,0.7050769619293124,0.75,21.080813413934873,0,2,22,5,7,3,0.9076824449592775,66.70223214142548
0.55,56.32679743811019,51,32.756698921054394,0.8462460472620109,0.75,43.95366649427885,15,2,60,28,4,0,0.306155350630223,41.72931991763752
0.55,18.962174218602605,22,53.458928036437825,0.23549439572451836,0.75,41.085904499645345,2,3,32,7,3,0,0.4731613101760833,51.01324674745096
0.7,11.442534080961082,34,12.392442576439445,0.1694665851945295,0.4,40.81594336411765,12,2,40,10,5,2,0.2628446333561281,36.944820271274516
1.0,96.73166698183442,66,242.77142150240434,0.06850680559100597,0.95,11.569668732195726,3,3,68,16,2,0,0.8679472670471065,57.125591604788475
0.7,43.92875505581575,33,165.5114257785705,0.8971332992460653,0.75,22.918768837039956,16,0,36,12,5,3,0.8858930782557148,51.06461728440988
0.85,64.28917558895539,32,95.02459459506358,0.20036709474314873,0.75,16.579647590709836,9,2,45,21,0,5,0.5868682519004835,53.749938108209015
0.85,17.174356586855648,45,37.90347060846001,0.3077540440643939,0.4,48.55013918810707,3,1,55,15,5,4,0.216636234674367,45.91865040096627
0.7,71.48028571507419,44,145.21376278811374,0.2858069260789511,0.75,43.960470763487834,19,1,50,18,2,8,0.28175851940591373,43.50078254232664
1.0,93.93100378353648,18,157.57840401538164,0.3045879875223949,0.95,13.246259387681558,11,0,21,6,2,1,0.699486495581152,72.6833208022975
1.0,61.80987276976777,14,210.5845502941516,0.6680611268287184,0.75,16.362497679697917,12,1,22,6,1,1,0.9860953487063644,71.80305224714398
0.7,21.35037901378695,77,290.9811631341274,0.9541135587405383,0.75,26.916552641313398,3,3,88,32,2,2,0.8710912617914859,43.782304426872024
0.7,62.3549374726129,65,130.4836591222124,0.3294534359575404,0.95,14.651683471437751,15,2,79,29,4,3,0.8383377728291344,45.68585447506479
0.7,78.97124917941872,38,121.81026197831079,0.40764715465869683,0.75,41.40196836275865,18,4,43,13,1,8,0.5343759047701595,45.8422353333412
0.7,46.57748829166168,17,110.97900137703675,0.7711469841086112,0.75,41.14233261733575,6,2,18,8,7,5,0.9881698017171903,64.58747629528392
0.35,89.1853973147321,69,248.07717269005832,0.4323379441876859,0.75,36.492681453634006,0,2,79,17,1,8,0.8599782806890428,45.52398566441131
0.85,68.38146580216281,58,46.895166419771364,0.9260427679260474,0.75,34.77620003304611,15,4,58,13,3,4,0.46852225725123353,50.92557578690733
0.85,90.93240264602822,31,103.14387109052683,0.5032180507452165,0.75,27.817773867252132,1,1,38,18,7,8,0.7987928230946528,73.29302096833719
0.55,66.11547801226035,20,217.49124146261727,0.3477348557636154,0.75,18.008500598307545,0,1,30,12,5,8,0.5460183355511297,61.444517679421374
0.7,21.81591748043418,39,4.708480602733944,0.9715724837342696,0.75,42.009984185888875,13,2,41,18,2,0,0.7283645361406659,46.48926142307576
1.0,37.87225399946702,26,86.8142170817084,0.42578187606417994,0.75,43.08277639133684,19,1,32,12,3,8,0.9760430854161666,61.597247067939335
0.55,28.161545342721123,1,192.43414882641295,0.23117487118804259,0.4,3.425963974344203,4,3,14,4,3,6,0.39716124421375004,51.19459938485482
0.55,91.79438479451761,79,55.78562940024141,0.17770081478953292,0.75,20.532351282279887,14,3,82,31,5,7,0.8360017527901258,42.861302409625246
0.7,78.43600605587343,38,90.81317073728135,0.9951813258283256,0.75,2.3047514420610007,9,4,40,9,7,2,0.6722994569440708,59.40586583122576
1.0,70.87585320190055,55,145.81352234496876,0.7529876931288492,0.95,42.1343923402821,1,2,68,29,1,0,0.9599767305949667,64.31381867480613
0.55,37.086968766845956,12,126.60706979090615,0.4086597974551808,0.75,9.67756907958005,10,3,20,7,3,3,0.3075706479631539,47.116029616855464
0.85,26.564029484519217,55,31.808156986613657,0.82636334285219,0.75,34.019471476010104,15,0,69,33,3,0,0.7757675990761574,49.197404407266056
0.85,78.08059791900206,65,281.47059667668975,0.546806129514485,0.75,18.511415067024128,18,1,70,27,1,0,0.22972252082766903,46.89109829729893
0.55,52.67421512911717,77,13.287816174627832,0.31738957363327247,0.75,40.98720720837609,3,2,82,20,1,3,0.39724278449141776,42.65594505650319
0.85,30.32105969355662,55,224.92282692684537,0.7433858087359594,0.75,25.97465811243446,9,3,60,20,0,7,0.4566836240528944,40.91170444419433
0.7,65.49597803487475,27,21.42683132734724,0.7458947388831518,0.95,16.895694298126283,11,4,41,8,2,0,0.5458046083936267,56.96484359851783
0.85,13.630046692460677,63,140.1887409075238,0.500169229184135,0.75,16.86966269528628,1,3,75,31,0,9,0.9722399816998368,45.03201013664804
0.85,39.35532287154282,70,52.62338749662331,0.045158340355496374,0.95,17.019434878657318,1,0,83,29,5,9,0.25408112138359445,48.847272085554216
0.85,52.17012951320212,63,42.329338928677586,0.07702248657366761,0.4,39.64038162904585,8,3,65,20,7,8,0.33518629148259427,40.93115235423497
0.55,23.316250069846525,55,37.76939296251752,0.7887494790012712,0.4,35.844664342507,11,2,60,29,6,5,0.3624377809483561,38.3054801886035
1.0,98.61890298317556,40,135.83599100860272,0.8234763759882132,0.75,16.641491259980114,1,4,43,20,1,4,0.5391973618524589,66.97783225917725
0.7,28.818762813065284,40,154.6454728161877,0.6782897485771823,0.75,25.020196358236547,17,4,41,19,4,8,0.2485598953152911,36.66630200658683
0.55,21.7317817038939,3,40.01534806285196,0.839068575417683,0.75,4.731515890936944,15,0,5,1,3,8,0.9723356372360552,65.83421074720226
0.35,28.318138649820675,56,293.81871907987187,0.7194874703576121,0.75,41.54751314961173,18,2,69,28,3,8,0.6478813529425775,28.28848200616452
0.85,79.21550198437518,29,77.32976605866693,0.896934620508916,0.4,14.031785662743552,14,0,42,20,1,2,0.8506295223380573,63.10674262207857
0.85,48.295509334465855,45,137.65240188083496,0.15039827261328031,0.75,44.57203195009615,15,0,48,17,3,7,0.8179987444512109,49.060328319125645
0.35,60.88743457772842,55,64.8808672805724,0.3877415283268735,0.95,30.243037957633376,5,0,65,17,0,9,0.7286601088172064,50.39313775520966
0.85,11.890824128772467,30,148.17679363486366,0.4641107938908192,0.4,28.823187948586074,14,3,42,18,3,3,0.9235275349048175,43.34271247709774
0.55,13.09881777159831,6,226.8049747395546,0.2976637947582136,0.95,8.973218373396858,11,1,18,8,4,3,0.9219069697261626,54.48596628311529
0.85,50.124299484431454,76,156.33060428834855,0.7253664481494441,0.75,4.407232619910806,11,3,76,31,7,6,0.30221746373185393,40.250192605294416
0.55,83.49897188814612,53,85.69466121541657,0.9124388126891402,0.75,28.078212468109513,9,2,65,18,2,7,0.9215426392993868,56.238770807185254
0.85,89.67149908368087,7,74.51898262018143,0.4124821992692763,0.4,23.931467039505975,14,0,21,5,5,3,0.6191128283063266,68.14004279796713
0.7,17.80359108360762,54,227.68032186811604,0.9415419645979666,0.75,6.864468645285869,3,0,60,23,5,9,0.4144557707855186,49.20979911427177
1.0,58.45267918909205,68,35.47145271787898,0.5167689071440567,0.4,41.94379840339115,9,1,79,27,7,5,0.6868003734851511,58.58856139190056
0.55,92.19067176513434,43,110.98994832176085,0.5225156268160511,0.4,21.444765839610035,18,4,47,18,5,0,0.4247228799276025,46.43931721376378
0.7,44.917547895809776,12,45.444814996165604,0.6002195406777565,0.95,13.76243221915346,13,0,23,5,6,1,0.5832062901219437,62.88775210573939
0.55,84.66092482855318,19,77.39274878834458,0.26833106511932536,0.75,39.62533256417303,9,3,29,6,0,4,0.8531502789242051,63.68801662411904
1.0,22.03260889594926,77,45.80496974548566,0.383360519135037,0.75,45.74014368206991,16,0,85,26,2,3,0.22575838075624433,36.12968041076219
1.0,94.18550407010189,31,266.031752562728,0.5532374528854946,0.4,15.992172456262969,10,2,44,12,2,2,0.34647119325276143,61.19985538828643
0.7,77.62809857781724,59,219.57125970390956,0.9419828855732617,0.95,39.021544384680716,17,1,64,24,4,5,0.9652661400982889,53.37389395940603
0.85,94.72009535082115,49,168.2781738132784,0.6426925784552184,0.75,32.97346319341716,1,4,62,19,5,9,0.5560786987434032,52.24347937268377
1.0,70.89555101972559,26,67.32756674865993,0.33311655788870953,0.95,49.4966614039505,10,2,33,13,4,5,0.4426593955803617,66.45558981624607
0.85,42.70635387994843,24,153.06804815975846,0.010468573316502638,0.4,10.99564266315015,7,3,32,13,4,9,0.9386236330353095,52.65489483592429
0.85,94.43630552722502,51,156.2499619342717,0.9816656499299057,0.75,48.07327073081627,18,2,56,14,4,7,0.9289711287505389,57.80328606942158
0.55,34.80100986782607,67,177.12111769617186,0.49298455781839545,0.95,16.448330778784594,15,0,79,37,5,1,0.23539396567825827,35.94148545270067
0.55,39.89552698555593,20,18.025547166819432,0.938495158330771,0.75,21.185760605477643,3,1,26,11,0,6,0.48998241312471225,65.6921791699374
